epoch,accuracy,precision,recall,f1_score
1,0.53,0.7,0.63,0.6
2,0.81,0.87,0.84,0.83
3,0.84,0.9,0.89,0.88
4,0.88,0.91,0.9,0.9
5,0.91,0.93,0.92,0.92
6,0.91,0.94,0.93,0.93
7,0.92,0.94,0.93,0.93
8,0.92,0.94,0.93,0.93
9,0.93,0.95,0.94,0.94
10,0.94,0.95,0.94,0.94
11,0.92,0.94,0.93,0.93
12,0.95,0.96,0.95,0.95
13,0.95,0.96,0.95,0.95
14,0.93,0.95,0.94,0.94
15,0.94,0.95,0.95,0.95
16,0.94,0.96,0.95,0.95
17,0.94,0.95,0.94,0.94
18,0.94,0.95,0.95,0.95
19,0.94,0.96,0.95,0.95
20,0.94,0.96,0.95,0.95
21,0.93,0.96,0.95,0.95
22,0.94,0.95,0.95,0.94
23,0.92,0.95,0.94,0.94
24,0.93,0.95,0.94,0.94
25,0.93,0.95,0.94,0.94
26,0.95,0.96,0.95,0.95
27,0.93,0.96,0.94,0.94
28,0.94,0.96,0.95,0.95
29,0.94,0.95,0.95,0.95
30,0.93,0.95,0.94,0.94
31,0.93,0.96,0.95,0.95
32,0.93,0.96,0.95,0.95
