,pink primrose,canterbury bells,english marigold,balloon flower,stemless gentian,siam tulip,barbeton daisy,bolero deep blue,oxeye daisy,sunflower,toad lily,tree mallow,cyclamen,trumpet creeper,blackberry lily
pink primrose,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
canterbury bells,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
english marigold,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
balloon flower,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
stemless gentian,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
siam tulip,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
barbeton daisy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bolero deep blue,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
oxeye daisy,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
sunflower,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
toad lily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tree mallow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cyclamen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trumpet creeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackberry lily,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
